Rental flat Y/N,Postal Code,Address,Total units,1-room (units),2-room (units),3-room (units),Charities serving block,Demographic,Food needed,Frequency needed
,050005,Blk 5 Banda Street,430,430,0,0,,,,
,080333,Blk 333 Kreta Ayer Road,126,0,126,0,,,,
,090003,Blk 3 Telok Blangah Crescent,264,264,0,0,THK SAC @ Telok Blangah Crescent / Apex Club of Singapore (City) @ Blk 5A,,,
,090004,Blk 4 Telok Blangah Crescent,264,264,0,0,THK SAC @ Telok Blangah Crescent @ Blk 3,,,
,090019,Blk 19 Telok Blangah Crescent,364,364,0,0,,,,
,090029,Blk 29 Telok Blangah Rise,154,0,154,0,Beyond Social Services,,,
,090041,Blk 41 Telok Blangah Rise,182,0,182,0,,,,
,100045,Blk 45 Telok Blangah Drive,318,0,318,0,,,,
,100076,Blk 76 Telok Blangah Drive,240,0,240,0,,,,
N,600101,Blk 101 Jurong East Street 13,,,,,"PA (Yuhua), Loving Heart MSC (Yuhua)",,,
N,600102,Blk 102 Jurong East Street 13,,,,,"PA (Yuhua), Loving Heart MSC (Yuhua)",,,
,120344,Blk 344 Clementi Avenue 5,220,0,220,0,,,,
,120366,Blk 366 Clementi Avenue 2,126,84,42,42,,,,
,120367,Blk 367 Clementi Avenue 2,126,84,42,42,,,,
,120419,Blk 419 Clementi Avenue 1,221,136,85,0,,,,
,120422,Blk 422 Clementi Avenue 1,289,170,119,0,,,,
N,600104,Blk 104 Jurong East Street 13,,,,,"PA (Yuhua), Loving Heart MSC (Yuhua)",,,
,130004,Blk 4 Dover Road,182,0,182,0,,,,
,140045,Blk 45 Stirling Road,98,21,77,14,,,,
N,600105,Blk 105 Jurong East Street 13,,,,,Loving Heart MSC (Jurong),,,
,140103,Blk 103 Commonwealth Crescent,99,0,99,0,,,,
,140104,Blk 104 Commonwealth Crescent,99,0,99,0,,,,
,140106,Blk 106 Commonwealth Crescent,99,0,99,0,,,,
,140107,Blk 107 Commonwealth Crescent,99,0,99,0,,,,
,140151,Blk 151 Mei Ling Street,196,196,0,0,,,,
,140155,Blk 155 Mei Ling Street,144,0,144,0,,,,
,141048,Blk 48 Stirling Road,98,21,77,14,,,,
,141049,Blk 49 Stirling Road,84,18,66,12,Beyond Social Services,,,
,150003,Blk 3 Jalan Bukit Merah,520,520,0,0,,,,
,150056,Blk 56 Lengkok Bahru,176,0,176,0,,,,
,150058,Blk 58 Lengkok Bahru,176,0,176,0,,,,
,150059,Blk 59 Lengkok Bahru,176,0,176,0,,,,
N,600110,Blk 110 Jurong East Street 13,,,,,"PA (Yuhua), Loving Heart MSC (Yuhua)",,,
N,610112,Blk 112 Ho Ching Road,,,,,Loving Heart MSC (Jurong),,,
,150061,Blk 61 Lengkok Bahru,144,0,144,0,,,,
N,600113,Blk 113 Jurong East Street 13,,,,,"PA (Yuhua), Loving Heart MSC (Yuhua)",,,
N,610113,Blk 113 Tao Ching Road,,,,,Loving Heart MSC (Jurong),,,
,150071,Blk 71 Redhill Road,172,136,36,0,,,,
,150072,Blk 72 Redhill Road,181,145,36,0,,,,
,150078,Blk 78 Redhill Lane,144,0,144,0,,,,
N,600115,Blk 115 Jurong East Street 13,,,,,"PA (Yuhua), Loving Heart MSC (Yuhua)",,,
,150089,Blk 89 Redhill Close,264,264,0,0,Apex Club of Singapore (Bukit Timah),,,
,150090,Blk 90 Redhill Close,264,264,0,0,Apex Club of Singapore,,,
,150091,Blk 91 Henderson Road,360,0,360,0,"Food Bank, Beyond Social Services, Jamiyah Food Bank, THK SAC @ Henderson (Satellite 93) @ Blk 93",,,
,150092,Blk 92 Henderson Road,360,0,360,0,"Food Bank, Beyond Social Services, Jamiyah Food Bank, THK SAC @ Henderson (Satellite 93) @ Blk 93",,,
,150093,Blk 93 Henderson Road,360,0,360,0,"Food Bank, Beyond Social Services, Jamiyah Food Bank, THK SAC @ Henderson (Satellite 93) @ Blk 93",,,
,151055,Blk 55 Lengkok Bahru,360,0,360,60,,,,
,151057,Blk 57 Lengkok Bahru,176,0,176,0,Free Food For All,,,
,151117,Blk 117 Bukit Merah View,136,0,136,18,THK SAC @ Bukit Merah View @ Blk 118,,,
,151123,Blk 123 Bukit Merah View,320,320,0,0,THK SAC @ Bukit Merah View @ Blk 118?,,,
,152120,Blk 121 Bukit Merah View,224,224,0,0,"Beyond Social Services, THK SAC @ Bukit Merah View @ Blk 118?",,,
,160042,Blk 42 Beo Crescent,126,0,126,0,THK SAC @ Beo Crescent @ Blk 44,,,
,160044,Blk 44 Beo Crescent,126,0,126,0,THK SAC @ Beo Crescent @ Blk 44,,,
,160048,Blk 48 Lower Delta Road,382,0,382,0,,,,
,160050,Blk 50 Havelock Road,96,0,96,0,,,,
,160051,Blk 51 Chin Swee Road,328,328,0,0,,,,
,160052,Blk 52 Chin Swee Road,272,271,1,0,,,,
,160104,Blk 104 Jalan Bukit Merah,216,0,216,0,"Beyond Social Service, Sincere Hope",,,
,160105,Blk 105 Jalan Bukit Merah,378,360,18,0,"Beyond Social Services, Sincere Hope, Apex Club of Singapore (City), YWCA Meals on Wheels, Singapore Buddhist Lodge",,,
,160106,Blk 106 Jalan Bukit Merah,330,312,18,0,"Beyond Social Services, Sincere Hope",,,
,160110,Blk 110 Jalan Bukit Merah,147,0,147,20,"Beyond Social Services, Sincere Hope",,,
,160115,Blk 115 Jalan Bukit Merah,126,0,126,18,"Beyond Social Services, Sincere Hope",,,
,160116,Blk 116 Jalan Bukit Merah,136,0,136,18,,,,
,160117,Blk 117 Jalan Bukit Merah,136,0,136,18,,,,
,160124,Blk 124 Kim Tian Place,288,288,0,0,,,,
,161001,Blk 1 Jalan Kukoh,56,0,56,14,,,,
,161003,Blk 3 Jalan Kukoh,270,270,0,0,,,,
,161005,Blk 5 Jalan Minyak,132,0,132,11,,,,
,161010,Blk 10 Jalan Bukit Ho Swee,120,0,120,0,,,,
,161079,Blk 79 Indus Road,520,520,0,0,"CDL, THK Indus Moral CARE",,,
,162002,Blk 2 Jalan Bukit Ho Swee,120,0,120,0,,,,
,162006,Blk 6 Jalan Minyak,144,0,144,12,,,,
,162011,Blk 11 York Hill,198,176,22,0,,,,
,162013,Blk 13 York Hill,182,160,22,0,,,,
,163002,Blk 2 Jalan Kukoh,264,264,0,0,,,,
,163004,Blk 4 Jalan Minyak,144,0,144,12,,,,
,163012,Blk 12 York Hill,198,176,22,0,,,,
